36°13′16″  137°38′26″
36°09′49″  137°35′26″
36°11′39″  137°31′20″
36°06′23″  137°33′13″
36°01′36″  137°35′57″
36°05′12″  137°45′17″
35°53′34″  137°28′49″
35°47′08″  137°23′49″
35°40′54″  137°30′26″
35°41′45″  137°20′38″
35°34′19″  137°24′01″
35°54′46″  137°51′45″
35°50′53″  137°48′36″
35°48′12″  137°49′37″
35°48′53″  137°49′18″
35°47′22″  137°48′16″
35°46′53″  137°48′33″
35°47′48″  137°47′10″
35°46′00″  137°47′38″
35°45′07″  137°48′48″
35°44′21″  137°48′12″
35°43′31″  137°48′20″
35°43′08″  137°49′02″
35°42′05″  137°48′39″
35°42′22″  137°48′56″
35°41′32″  137°48′49″
35°40′46″  137°48′12″
35°37′50″  137°46′28″
35°36′46″  137°44′15″
35°35′33″  137°38′39″
35°32′58″  137°47′02″
35°26′37″  137°35′50″
35°58′03″  138°05′36″
35°53′47″  138°10′18″
35°46′44″  138°12′36″
35°45′29″  138°14′12″
35°45′17″  138°13′51″
35°45′03″  138°13′17″
35°43′54″  138°14′29″
35°44′17″  138°14′03″
35°42′35″  138°17′16″
35°42′44″  138°17′55″
35°42′06″  138°18′17″
35°41′46″  138°18′42″
35°40′35″  138°19′19″
35°35′12″  138°22′09″
35°43′12″  138°11′01″
35°41′21″  138°11′39″
35°42′03″  138°14′24″
35°40′28″  138°14′20″
35°38′46″  138°13′42″
35°37′31″  138°13′47″
35°37′16″  138°14′13″
35°37′18″  138°16′10″
35°36′22″  138°14′09″
35°35′35″  138°14′36″
35°34′16″  138°14′38″
35°38′40″  138°11′10″
35°37′23″  138°12′11″
35°36′26″  138°12′19″
35°35′41″  138°11′40″
35°34′26″  138°10′59″
35°33′25″  138°12′26″
35°32′22″  138°13′35″
35°34′15″  138°09′06″
35°44′42″  138°03′07″
35°33′13″  138°09′13″
35°32′16″  138°09′11″
35°31′31″  138°07′35″
35°31′20″  138°08′18″
35°31′05″  138°08′46″
35°30′03″  138°10′57″
35°29′48″  138°10′01″
35°29′39″  138°09′51″
35°27′40″  138°09′26″
35°29′06″  138°04′09″
35°29′31″  137°59′25″
35°26′56″  138°07′13″
35°26′34″  138°07′19″
35°25′43″  138°07′16″
35°25′22″  138°08′23″
35°23′23″  138°09′10″
35°22′09″  138°08′26″
35°21′39″  138°07′38″
35°20′17″  138°05′02″
35°19′49″  138°02′18″
35°18′06″  137°59′32″
35°15′48″  137°53′42″
35°15′22″  138°09′42″
35°14′08″  138°02′28″
35°11′46″  138°01′46″
35°07′34″  138°02′07″
35°06′56″  138°00′13″
35°05′46″  137°57′57″
34°58′54″  137°51′58″
34°54′27″  138°03′24″
35°25′27″  138°15′34″
35°24′31″  138°15′30″
35°22′11″  138°13′43″
35°23′51″  138°24′59″
35°22′10″  138°20′56″
35°18′16″  138°17′07″
35°15′13″  138°22′41″
35°14′52″  138°25′35″
35°10′43″  138°26′17″
35°05′18″  138°24′13″
34°57′58″  138°28′05″
35°13′39″  137°39′20″
35°09′09″  137°29′42″
34°59′03″  137°34′58″
34°54′35″  137°25′14″
35°12′21″  137°10′01″
35°26′00″  136°46′53″
37°25′43″  137°09′45″
37°22′40″  136°58′15″
36°57′56″  136°58′15″
36°46′55″  136°48′47″
36°47′24″  137°00′55″
36°32′28″  137°01′54″
36°24′56″  137°06′44″
36°22′44″  137°02′56″
36°20′56″  136°56′23″
36°20′17″  136°57′00″
36°13′33″  136°56′34″
36°11′53″  136°57′37″
36°15′12″  137°17′55″
36°02′18″  137°11′48″
36°00′30″  137°08′58″
35°56′25″  136°58′17″
36°32′26″  136°58′59″
36°28′38″  136°56′34″
36°30′46″  136°47′46″
36°22′24″  136°42′56″
36°22′16″  136°46′25″
36°21′55″  136°48′13″
36°19′14″  136°47′23″
36°17′55″  136°47′32″
36°15′32″  136°50′40″
36°10′44″  136°51′37″
36°10′16″  136°45′31″
36°09′18″  136°46′17″
36°09′08″  136°44′08″
36°06′20″  136°45′57″
36°03′25″  136°44′23″
36°00′46″  136°43′57″
36°00′05″  136°50′16″
36°04′03″  136°39′43″
36°02′47″  136°37′19″
36°15′57″  136°36′56″
36°09′43″  136°29′35″
36°11′19″  136°21′50″
36°07′30″  136°23′34″
36°04′45″  136°05′02″
35°51′33″  136°12′27″
35°53′10″  136°26′21″
35°56′03″  136°36′05″
35°48′36″  136°43′08″
35°40′19″  136°51′33″
35°47′49″  136°37′36″
35°48′34″  136°30′21″
35°45′45″  136°30′51″
35°46′47″  136°24′34″
35°41′01″  136°18′00″
35°33′00″  136°20′14″
35°25′04″  136°24′23″
35°16′45″  136°22′53″
35°17′01″  136°30′41″
35°15′47″  136°31′24″
35°10′43″  136°24′54″
35°07′10″  136°26′43″
35°01′14″  136°25′04″
35°01′16″  136°23′03″
34°53′23″  136°19′15″
34°49′02″  136°15′38″
34°45′59″  136°22′28″
34°44′03″  136°17′48″
35°15′53″  135°53′49″
35°12′08″  135°50′07″
35°12′34″  135°53′09″
35°03′57″  135°50′04″
34°58′37″  135°51′11″
35°03′02″  136°02′16″
34°49′50″  135°54′30″
34°45′07″  135°57′02″
34°41′28″  135°51′16″
34°32′06″  135°52′01″
34°30′53″  135°48′19″
34°29′45″  135°49′06″
34°29′33″  135°47′05″
34°40′42″  135°40′44″
34°36′46″  135°40′06″
34°31′33″  135°40′39″
34°27′22″  135°40′56″
34°25′10″  135°40′23″
34°22′27″  135°33′04″
34°20′53″  135°26′04″
34°18′30″  135°12′28″
34°32′48″  136°25′58″
34°33′27″  136°13′11″
34°31′51″  136°10′13″
34°27′38″  136°19′37″
34°26′55″  136°12′23″
34°25′43″  136°05′18″
34°26′26″  135°53′52″
34°27′40″  136°46′53″
34°22′23″  136°30′57″
34°21′00″  136°12′27″
34°22′33″  136°05′12″
34°18′58″  136°07′46″
34°17′35″  136°02′49″
34°11′07″  136°06′33″
34°15′09″  135°56′28″
34°13′40″  135°57′46″
34°10′48″  135°54′34″
34°10′25″  135°54′27″
34°08′04″  135°54′47″
34°06′52″  135°54′11″
34°03′30″  135°53′49″
33°58′58″  135°53′54″
33°55′36″  135°49′54″
34°01′55″  136°08′50″
33°47′40″  135°55′50″
34°14′17″  135°24′41″
34°06′18″  135°20′03″
34°00′57″  135°22′20″
34°04′39″  135°39′03″
34°03′27″  135°34′01″
33°56′56″  135°37′53″
33°53′57″  135°39′10″
33°43′37″  135°42′50″
33°43′33″  135°39′55″
33°41′46″  135°54′03″
33°35′37″  135°32′49″
35°35′23″  136°01′29″
35°33′28″  135°56′42″
35°33′27″  135°44′01″
35°23′30″  135°48′36″
35°27′07″  135°39′36″
35°30′18″  135°29′02″
35°22′39″  135°32′04″
35°18′12″  135°28′26″
35°09′33″  135°43′02″
35°03′37″  135°38′03″
34°56′07″  135°37′26″
34°55′44″  135°28′02″
34°58′27″  135°28′36″
35°00′13″  135°24′14″
35°07′38″  135°14′42″
35°02′46″  135°08′05″
35°41′43″  135°12′15″
35°32′55″  135°02′17″
35°27′12″  135°06′24″
35°25′19″  134°54′57″
35°36′43″  134°47′08″
34°46′41″  135°15′49″
34°43′59″  135°12′15″
34°29′50″  134°56′36″
34°14′06″  134°48′51″
35°16′22″  134°54′56″
35°08′41″  134°53′02″
35°03′51″  134°50′05″
35°37′16″  134°33′46″
35°28′15″  134°38′17″
35°24′38″  134°38′38″
35°16′00″  134°36′02″
35°11′30″  134°43′39″
35°04′22″  134°39′04″
35°26′23″  134°26′27″
35°23′43″  134°32′11″
35°21′14″  134°30′50″
35°14′12″  134°27′46″
35°17′32″  134°22′59″
35°14′53″  134°21′24″
35°11′13″  134°24′40″
35°10′18″  134°10′49″
34°53′34″  134°39′23″
34°54′30″  134°22′51″
34°55′23″  134°15′08″
34°44′41″  133°56′27″
34°53′56″  133°42′25″
36°15′24″  133°19′49″
36°04′29″  133°01′55″
35°30′28″  132°58′35″
35°24′45″  132°45′10″
35°21′37″  134°03′04″
35°15′34″  133°58′30″
35°15′07″  133°48′54″
35°19′30″  133°39′48″
35°23′12″  133°34′51″
35°22′16″  133°32′46″
35°21′21″  133°34′13″
35°14′08″  133°30′53″
35°13′47″  133°28′13″
35°08′31″  133°40′38″
35°09′09″  133°24′04″
35°08′01″  133°21′19″
35°09′21″  133°10′43″
35°04′10″  133°13′58″
35°03′06″  133°03′56″
35°04′12″  133°03′08″
35°04′53″  132°58′04″
35°05′15″  132°51′16″
35°02′53″  132°46′57″
35°08′26″  132°37′18″
35°03′50″  132°25′43″
34°44′53″  133°13′18″
34°38′56″  133°09′24″
34°27′21″  133°05′00″
34°33′58″  132°44′46″
34°31′17″  132°34′32″
34°25′22″  132°32′52″
34°15′44″  132°39′58″
34°55′03″  132°30′07″
34°47′09″  132°22′53″
34°47′32″  132°20′34″
34°48′08″  132°14′20″
34°44′52″  132°12′05″
34°41′24″  132°11′48″
34°39′00″  132°12′24″
34°35′44″  132°07′47″
34°33′55″  132°08′32″
34°24′57″  132°13′01″
34°28′07″  132°04′34″
34°28′02″  132°03′16″
34°28′38″  131°58′02″
34°25′01″  132°00′31″
34°21′20″  132°04′02″
34°22′36″  131°50′21″
34°19′06″  131°53′59″
34°15′02″  131°53′47″
34°19′57″  131°46′40″
34°27′44″  131°47′53″
34°26′18″  131°41′43″
34°39′08″  131°36′48″
34°12′39″  131°24′34″
34°04′24″  131°37′49″
34°18′19″  131°18′10″
34°17′02″  131°13′16″
34°18′40″  131°02′34″
34°12′53″  130°58′35″
34°04′06″  130°56′09″
34°30′55″  134°19′03″
34°26′00″  133°22′06″
34°14′21″  133°01′17″
34°16′46″  132°19′11″
33°51′11″  132°08′32″
34°21′40″  134°08′29″
34°19′47″  133°57′09″
34°16′28″  133°50′45″
34°11′48″  133°47′19″
34°11′39″  134°11′48″
34°07′24″  134°07′37″
34°06′56″  134°02′54″
34°06′55″  133°56′23″
34°02′07″  133°43′23″
33°54′10″  132°57′35″
33°56′45″  132°51′00″
34°03′40″  134°30′59″
33°57′45″  134°30′34″
33°52′27″  134°31′11″
34°01′02″  134°11′45″
33°54′21″  134°17′41″
33°55′24″  134°05′59″
33°51′13″  134°05′39″
33°52′27″  134°05′24″
33°52′01″  134°02′21″
33°55′30″  133°58′30″
33°55′29″  133°50′39″
33°54′27″  133°47′05″
33°49′37″  133°56′36″
33°50′22″  133°59′16″
33°48′36″  133°59′35″
33°47′05″  134°03′18″
33°45′33″  133°45′05″
33°41′41″  134°06′36″
33°37′08″  134°04′04″
33°32′49″  134°04′55″
33°51′20″  133°34′48″
33°48′58″  133°35′27″
33°44′49″  133°21′33″
33°40′11″  133°30′22″
33°55′10″  133°27′29″
33°52′30″  133°22′30″
33°49′41″  133°16′29″
33°47′17″  133°14′53″
33°47′41″  133°11′36″
33°46′04″  133°06′54″
33°45′31″  133°05′38″
33°43′55″  133°09′40″
33°44′02″  132°59′05″
33°42′19″  132°45′55″
33°36′20″  132°33′17″
33°32′06″  132°27′55″
33°31′03″  132°37′58″
33°20′38″  132°45′21″
33°33′20″  132°55′21″
33°34′32″  133°02′48″
33°26′27″  133°03′47″
33°26′28″  133°15′34″
33°21′23″  133°03′04″
33°10′38″  133°09′03″
33°09′36″  132°52′36″
33°12′31″  132°38′05″
33°11′18″  132°38′07″
33°03′21″  132°39′33″
32°51′27″  132°51′01″
33°51′34″  130°55′02″
33°46′50″  130°54′34″
33°44′32″  130°48′14″
33°30′44″  131°00′06″
33°28′34″  130°55′34″
33°29′11″  130°46′04″
33°41′14″  130°32′57″
33°33′20″  130°35′02″
33°26′34″  130°30′37″
33°26′11″  130°22′07″
33°28′12″  130°05′57″
33°20′20″  130°08′34″
33°34′59″  131°36′06″
33°26′05″  131°15′10″
33°17′12″  131°25′47″
33°16′56″  131°23′25″
33°13′53″  131°07′50″
33°08′24″  131°09′52″
33°05′09″  131°14′56″
33°06′20″  131°17′34″
33°05′42″  131°16′50″
33°06′14″  131°14′47″
